,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,12-02-2020,Book Closure,08-05-2020,14-05-2020,Annual General MeetingA.G.M. & Rs.4.8000 per share(240%)Dividend(As Per BSE Announcement Dat...
2,10-12-2019,Book Closure,23-12-2019,,Spin Off- Demerger
3,01-03-2019,Book Closure,02-05-2019,08-05-2019,Rs.4.8000 per share(240%)Dividend& A.G.M.
4,09-02-2017,Book Closure,03-05-2017,09-05-2017,Rs.4.0000 per share(200%)Dividend & A.G.M.
5,04-02-2016,Book Closure,20-04-2016,26-04-2016,A.G.M. & Rs.3.7000 per share(185%)Dividend
6,10-02-2015,Book Closure,30-04-2015,06-05-2015,Rs.3.7000 per share(185%)Final Dividend
7,18-02-2014,Book Closure,29-04-2014,05-05-2014,A.G.M. & Rs.3.0000 per share(150%)Dividend
8,21-02-2013,Book Closure,03-05-2013,09-05-2013,Rs.3.0000 per share(150%)Final Dividend & A.G.M.
9,23-02-2011,Book Closure,04-05-2011,10-05-2011,Rs.2.00 per share(100%)Dividend & A.G.M.
10,02-03-2010,Book Closure,05-05-2010,11-05-2010,A.G.M. & Rs.2.00 per share(100%)Dividend
