,Announcement_Date,Purpose,Date,Book_Closure_From,Book_Closure_To,Remark
0,12-02-2020,AGM,14-05-2020,08-05-2020,14-05-2020,-
1,08-07-2019,COM,09-08-2019,-,-,-
2,01-03-2019,AGM,08-05-2019,02-05-2019,08-05-2019,-
3,04-01-2019,POM,05-02-2019,-,-,-
4,10-02-2018,AGM,09-05-2018,03-05-2018,09-05-2018,-
5,09-02-2017,AGM,09-05-2017,03-05-2017,09-05-2017,& A.G.M.
6,04-02-2016,AGM,26-04-2016,20-04-2016,26-04-2016,Rs.3.7000 per share(185%)Dividend
7,06-07-2015,POM,10-08-2015,-,-,-
8,10-02-2015,AGM,06-05-2015,30-04-2015,06-05-2015,-
9,18-02-2014,AGM,05-05-2014,29-04-2014,05-05-2014,Rs.3.0000 per share(150%)Dividend
10,21-02-2013,AGM,09-05-2013,03-05-2013,09-05-2013,Rs.3.0000 per share(150%)Final Dividend
11,23-02-2012,AGM,10-05-2012,04-05-2012,10-05-2012,Rs.3.00 per share(150%)Dividend
12,23-02-2011,AGM,10-05-2011,04-05-2011,10-05-2011,Rs.2.00 per share(100%)Dividend
13,02-03-2010,AGM,11-05-2010,05-05-2010,11-05-2010,100% Dividend
14,24-02-2009,AGM,19-05-2009,13-05-2009,19-05-2009,110% Dividend
15,25-02-2008,AGM,03-06-2008,28-05-2008,03-06-2008,110% Dividend
16,06-03-2007,AGM,25-05-2007,16-05-2007,25-05-2007,100% Dividend
17,24-01-2006,AGM,26-05-2006,16-05-2006,26-05-2006,80% Dividend
18,01-02-2005,AGM,24-05-2005,13-05-2005,24-05-2005,70% Dividend
19,27-01-2004,AGM,27-04-2004,15-04-2004,27-04-2004,Dividend 60%
20,03-04-2003,AGM,18-06-2003,-,-,-
21,20-01-2003,AGM,10-04-2003,01-04-2003,10-04-2003,Dividend 60%<br>
22,21-02-2002,AGM,24-04-2002,10-04-2002,24-04-2002,Dividend 50% (Revised)
23,24-04-2001,AGM,15-06-2001,01-06-2001,15-06-2001,Bookclsoure
24,16-02-2001,AGM,24-04-2001,06-04-2001,24-04-2001,Bookclsoure
25,11-02-2000,AGM,02-05-2000,18-04-2000,02-05-2000,AGM & Dividend Rs. 5/-
26,19-02-1998,AGM,-,07-04-1998,21-04-1998,-
27,22-02-1997,AGM,-,10-04-1997,23-04-1997,-
