,Meeting_Date,Remark
0,13-05-2020,Quarterly Results
1,12-02-2020,Audited Results & Dividend
2,13-11-2019,Quarterly Results
3,26-07-2019,Quarterly Results
4,07-05-2019,Quarterly Results
5,01-03-2019,Audited Results & Dividend
6,30-10-2018,Quarterly Results
7,19-07-2018,Quarterly Results
8,08-05-2018,Quarterly Results
9,08-02-2018,Audited Results & Dividend
10,24-10-2017,Quarterly Results
11,20-07-2017,Quarterly Results
12,08-05-2017,Quarterly Results
13,23-03-2017,Others
14,09-02-2017,Audited Results & Dividend
15,27-10-2016,Quarterly Results
16,21-07-2016,Quarterly Results
17,25-04-2016,Quarterly Results
18,04-02-2016,Audited Results & Dividend
19,11-12-2015,Others
20,03-11-2015,Quarterly Results
21,04-09-2015,Allotment of NCDs
22,02-09-2015,Resignation of Director
23,24-07-2015,Quarterly Results
24,05-05-2015,Quarterly Results
25,10-02-2015,Audited Results & Dividend
26,28-10-2014,Quarterly Results
27,23-07-2014,Quarterly Results
28,04-05-2014,Quarterly Results
29,18-02-2014,Audited Results & Dividend
30,06-11-2013,Quarterly Results
31,09-08-2013,Quarterly Results
32,08-05-2013,Quarterly Results
33,21-02-2013,Audited Results & Quarterly Results
34,06-11-2012,Quarterly Results
35,08-08-2012,Quarterly Results
36,09-05-2012,Quarterly Results
37,23-02-2012,"Audited, Quarterly Results & Dividend"
38,08-11-2011,Quarterly Results
39,09-08-2011,Quarterly Results
40,11-05-2011,Quarterly Results
41,23-02-2011,Audited Results & Dividend
42,29-10-2010,Quarterly Results
43,13-09-2010,Acquisition of the business
44,30-07-2010,Quarterly Results
45,11-05-2010,Others
46,30-04-2010,Quarterly Results
47,26-02-2010,Audited Results & Dividend
48,30-10-2009,Quarterly Results
49,31-07-2009,Quarterly Results
50,30-04-2009,Quarterly Results
51,20-02-2009,Audited Results & Dividend
52,24-10-2008,Quarterly Results
53,25-07-2008,Quarterly Results
54,25-04-2008,Quarterly Results
55,19-02-2008,Audited Results & Dividend
56,25-10-2007,Quarterly Results
57,26-07-2007,Quarterly Results
58,26-04-2007,Quarterly Results
59,16-02-2007,"Accounts, Dividend & Qtr.Results"
60,30-10-2006,Quarterly Results
61,24-07-2006,Quarterly Results
62,25-04-2006,Quarterly Results
63,24-01-2006,"Accounts, Dividend & Quarterly Results"
64,25-10-2005,Quarterly Results
65,21-07-2005,Quarterly Results
66,14-04-2005,Quarterly Results
67,01-02-2005,Dividend & Accounts
68,19-10-2004,Quarterly Results
69,20-07-2004,Quarterly Results
70,11-03-2004,Others
71,27-01-2004,Accounts & Dividend
72,30-10-2003,Quarterly Results
73,22-07-2003,Quarterly Results & Half Yearly Results
74,10-04-2003,Quarterly Results
75,30-01-2003,"Accounts, Dividend & Quarterly Results"
76,25-10-2002,Quarterly Results
77,24-07-2002,Half Yearly Results & Quarterly Results
78,24-04-2002,Quarterly Results
79,20-02-2002,"Accounts, Dividend & Others"
80,19-12-2001,Others
81,23-10-2001,Quarterly Results
82,24-07-2001,Quarterly Results & Amalgamation
83,24-04-2001,Quarterly Results
84,21-02-2001,Accounts & Dividend
85,24-10-2000,Quarterly Results
86,18-07-2000,Quarterly Results
87,25-04-2000,Quarterly Results
88,11-02-2000,Quarterly Results
89,26-10-1999,Quarterly Results
90,26-07-1999,Quarterly Results
91,21-04-1999,Quarterly Results
92,28-01-1999,Recommendation Dividend & Accounts
93,28-10-1998,Quarterly Results
94,27-08-1998,Half Yearly Results
95,18-08-1998,Cancelled
96,18-02-1998,Accounts & Dividend
97,22-08-1997,Half Yearly Results
98,20-02-1997,Accounts & Final Dividend.
