,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,12-02-2020,05-05-2020,Final,240.00,Rs.4.8000 per share(240%)Dividend
1,01-03-2019,26-04-2019,Final,240.00,Rs.4.8000 per share(240%)Dividend
2,09-02-2018,27-04-2018,Final,220.00,Rs.4.4000 per share(220%)Dividend
3,09-02-2017,28-04-2017,Final,200.00,Rs.4.0000 per share(200%)Dividend.
4,04-02-2016,13-04-2016,Final,185.00,Rs.3.7000 per share(185%)Dividend
5,10-02-2015,28-04-2015,Final,185.00,Rs.3.7000 per share(185%)Final Dividend
6,18-02-2014,25-04-2014,Final,150.00,Rs.3.0000 per share(150%)Dividend
7,21-02-2013,30-04-2013,Final,150.00,Rs.3.0000 per share(150%)Final Dividend
8,23-02-2012,02-05-2012,Final,150.00,-
9,23-02-2011,02-05-2011,Final,100.00,-
10,26-02-2010,03-05-2010,Final,100.00,-
11,20-02-2009,11-05-2009,Final,110.00,110 % Dividend (Rs.2.20 per share)
12,19-02-2008,26-05-2008,Final,110.00,-
13,19-02-2007,14-05-2007,Final,100.00,AGM
14,24-01-2006,12-05-2006,Final,80.00,AGM
15,01-02-2005,11-05-2005,Final,70.00,AGM
16,27-01-2004,12-04-2004,Final,60.00,AGM
17,20-01-2003,27-03-2003,Final,60.00,AGM
18,20-02-2002,22-03-2002,Final,50.00,AGM (Revised)
19,24-04-2001,17-05-2001,Final,50.00,-
