,Company,Date,Purpose,Start,End,Agenda
0,Triton Valves,24-01-2020,POM,-,-,-
1,La Tim Metal,24-01-2020,COM,-,-,-
2,Shashijit Infra,24-01-2020,POM,-,-,-
3,Ador Multi,24-01-2020,POM,-,-,-
4,Hester Bio,25-01-2020,POM,-,-,-
5,PTC Industries,25-01-2020,POM,-,-,-
6,Suprajit Eng,27-01-2020,POM,-,-,-
7,Punj Comm,28-01-2020,EGM,22-01-2020,28-01-2020,28-01-2020
8,Warren Tea,28-01-2020,POM,-,-,-
9,A & M Febcon,28-01-2020,POM,-,-,-
10,Panacea Biotec,28-01-2020,COM,-,-,-
11,Banco Products,29-01-2020,POM,-,-,-
12,APL Apollo,29-01-2020,POM,-,-,-
13,Interglobe Avi,29-01-2020,EGM,-,-,-
14,Polytex India,30-01-2020,EGM,-,-,-
15,Fermenta Bio,30-01-2020,POM,-,-,-
16,WW Technology,30-01-2020,EGM,20-01-2020,30-01-2020,30-01-2020
17,Anjani Foods,30-01-2020,POM,-,-,-
18,Sterling Tools,30-01-2020,POM,-,-,-
19,Aditya Vision,31-01-2020,POM,-,-,-
20,8K Miles Soft,31-01-2020,POM,-,-,-
21,Regency Investm,31-01-2020,EGM,-,-,-
22,Elgi Equipments,01-02-2020,POM,-,-,-
23,Krebs Biochem,01-02-2020,EGM,-,-,-
24,CL Educate,01-02-2020,COM,-,-,-
25,Meera Industrie,03-02-2020,POM,-,-,-
26,Vadilal Enter,04-02-2020,POM,-,-,-
27,Vadilal Ind,04-02-2020,POM,-,-,-
28,ConfidencePetro,04-02-2020,EGM,-,-,-
29,Value Ind,04-02-2020,AGM,28-01-2020,04-02-2020,04-02-2020
30,Indrayani Biot,05-02-2020,COM,-,-,-
31,AI Champdany,06-02-2020,POM,-,-,-
32,Soril Infra Res,06-02-2020,POM,-,-,-
33,AVTIL Ent,06-02-2020,EGM,-,-,-
34,ARC Finance,06-02-2020,EGM,31-01-2020,06-02-2020,06-02-2020
35,H K Trade Intl,06-02-2020,EGM,-,-,-
36,Yes Bank,07-02-2020,EGM,-,-,-
37,Milkfood,07-02-2020,EGM,01-02-2020,05-02-2020,05-02-2020
38,IND Renewable,07-02-2020,EGM,-,-,-
39,Milestone,08-02-2020,EGM,-,-,-
40,Globus Spirits,10-02-2020,POM,-,-,-
41,Clariant Chem,10-02-2020,POM,-,-,-
42,Manas Propertie,10-02-2020,EGM,-,-,-
43,Siemens,11-02-2020,AGM,05-02-2020,11-02-2020,11-02-2020
44,Coastal Corp,11-02-2020,EGM,-,-,-
45,PG Electroplast,11-02-2020,POM,-,-,-
46,Dalmia Bharat,11-02-2020,POM,-,-,-
47,Coastal Corp,11-02-2020,EGM,-,-,-
48,Pratibha Ind,11-02-2020,AGM,-,-,-
49,Fortis Malar,11-02-2020,POM,-,-,-
50,Global Land,12-02-2020,EGM,-,-,-
51,Lyka Labs,12-02-2020,EGM,-,-,-
52,Anup Malleables,12-02-2020,POM,-,-,-
53,CRISIL,12-02-2020,COM,-,-,-
54,Piramal Enter,13-02-2020,EGM,-,-,-
55,Igarashi Motors,14-02-2020,EGM,-,-,-
56,UCO Bank,14-02-2020,EGM,-,-,-
57,JM Financial,14-02-2020,POM,-,-,-
58,Sri Havisha,15-02-2020,COM,-,-,-
59,Xtglobal,15-02-2020,EGM,-,-,-
60,NIIT Tech,15-02-2020,POM,-,-,-
61,Sambandam Spin,17-02-2020,POM,-,-,-
62,Alexander Stamp,17-02-2020,EGM,-,-,-
63,Kandagiri Spin,17-02-2020,POM,-,-,-
64,Future Supply,18-02-2020,POM,-,-,-
65,Electrosteel,18-02-2020,POM,-,-,-
66,Ashapura Mine,20-02-2020,POM,-,-,-
67,Kapashi Com,20-02-2020,EGM,-,-,-
68,Strides Pharma ,20-02-2020,COM,-,-,-
69,Mirch Tech,20-02-2020,EGM,-,-,-
70,Remi Process,20-02-2020,EGM,-,-,-
71,Ruchi Soya,20-02-2020,EGM,-,-,-
72,Spectrum Foods ,21-02-2020,EGM,-,-,-
73,Guj NRE Coke,21-02-2020,COM,-,-,-
74,Xelpmoc Design ,21-02-2020,POM,-,-,-
75,Guj NRE (DVR),21-02-2020,COM,-,-,-
76,Rathi Bars,21-02-2020,POM,-,-,-
77,Brightcom Group,22-02-2020,POM,-,-,-
78,ICICI Securitie,22-02-2020,POM,-,-,-
79,Linde India,22-02-2020,POM,-,-,-
80,Redex Protech,23-02-2020,POM,-,-,-
81,Kothari World,24-02-2020,POM,-,-,-
82,Arman Financial,24-02-2020,POM,-,-,-
83,Healthcare Glob,24-02-2020,POM,-,-,-
84,Caprihans,25-02-2020,POM,-,-,-
85,Helpage Fin,25-02-2020,POM,-,-,-
86,Manorama Indust,26-02-2020,POM,-,-,-
